Date,Price,Open,High,Low,Vol,Change
45048,28.669,28.79,28.877,27.913,65.33,2.11%
45047,28.77,29.252,29.329,27.685,84.36,-4.02%
45046,29.252,29.235,29.941,29.95,47.62,0.06%
45045,29.234,29.318,29.425,29.58,25.72,-0.30%
45044,29.321,29.475,29.587,28.927,69.88,-0.52%
45043,29.475,28.424,29.859,28.392,121.63,3.70%
45042,28.424,28.298,29.995,27.307,164.31,0.44%
45041,28.298,27.510,28.375,27.201,65.31,2.87%
45040,27.509,27.591,27.978,27.54,66.74,-0.30%
45039,27.591,27.813,27.815,27.388,41.77,-0.80%
45038,27.813,27.264,27.872,27.165,44.30,2.01%
45037,27.264,28.240,28.353,27.171,98.72,-3.46%
45036,28.240,28.813,29.82,28.32,95.45,-1.99%
45035,28.813,30.382,30.408,28.641,111.27,-5.16%
45034,30.382,29.434,30.470,29.149,76.58,3.22%
45033,29.434,30.310,30.312,29.274,71.90,-2.89%
45032,30.310,30.299,30.545,30.134,34.48,0.04%
45031,30.299,30.472,30.586,30.208,31.71,-0.57%
45030,30.472,30.387,30.964,30.26,98.38,0.28%
45029,30.387,29.892,30.524,29.864,65.87,1.68%
45028,29.886,30.209,30.473,29.679,78.69,-1.07%
45027,30.209,29.641,30.484,29.597,89.38,1.92%
45026,29.641,28.326,29.755,28.182,85.73,4.64%
45025,28.326,27.941,28.522,27.809,39.35,1.38%
45024,27.941,27.910,28.153,27.863,23.73,0.11%
45023,27.910,28.37,28.102,27.779,30.94,-0.45%
45022,28.36,28.173,28.173,27.734,51.29,-0.49%
45021,28.173,28.164,28.744,27.823,77.32,0.03%
45020,28.164,27.802,28.429,27.668,64.6,1.30%
